cluster;d1;d2
1;-1.8431;0.1948
1;-1.2625;0.5172
1;-1.3426;0.1544
1;-1.8816;0.352
1;-1.9899;-0.381
1;-1.7218;0.4622
1;-0.8827;0.0756
1;-1.7719;1.0869
2;-1.2955;-0.5831
1;-1.6458;0.7832
1;-1.6755;0.7794
1;-1.7434;0.1272
1;-2.0501;-0.4234
1;-1.6544;0.3012
1;-1.6857;0.8224
1;-1.576;0.1395
2;-0.9321;-0.7559
1;-2.284;0.925
2;-1.1776;-1.5559
1;-2.3569;0.4443
1;-2.088;0.3814
1;-1.8512;0.5482
1;-1.4734;0.5342
1;-1.5099;0.6727
1;-1.905;0.7214
1;-1.7547;-0.0293
1;-1.6595;0.137
1;-2.6664;0.3048
1;-1.6949;-0.0434
1;-1.7759;0.6263
1;-1.8653;0.6695
1;-1.6054;0.3313
1;-1.5354;-0.1066
1;-1.3474;1.0347
1;-1.5492;-0.4278
1;-1.6863;-0.0909
1;-1.7302;-0.2439
1;-2.3968;0.1823
1;-1.1772;0.1127
1;-2.2227;0.6958
1;-0.9767;0.062
1;-2.2528;0.6253
2;-0.6739;-0.7273
1;-1.8946;0.9145
1;-0.9096;0.2268
1;-1.9359;-0.2376
1;-2.6008;0.2608
1;-1.7167;0.852
2;-1.5401;-0.9263
1;-1.5237;0.3723
1;-1.1729;0.0768
1;-1.7927;1.002
2;-0.8519;-0.4033
1;-2.3601;0.9354
1;-1.2722;-0.1186
1;-1.4881;0.5266
1;-1.2352;-0.0386
1;-2.1198;1.0484
1;-1.5281;0.3195
1;-1.8954;1.1317
2;-1.2666;-0.7066
1;-1.4811;0.8851
1;-0.9287;0.0931
1;-2.1272;0.9243
1;-0.9076;0.0601
1;-1.2055;1.4009
1;-1.2761;-0.1597
1;-1.6705;1.1774
2;-0.6623;-0.2876
1;-2.0754;0.9363
1;-1.2626;0.2218
1;-0.9652;0.5324
2;-0.4736;-0.7907
1;-1.4942;1.0779
2;-0.6201;-0.2144
1;-0.8736;0.4682
1;-1.9378;0.306
1;-1.321;1.3457
2;-0.9823;-0.3171
1;-1.8572;1.2229
2;-0.0597;0.0944
1;-1.7743;0.5399
1;-1.5372;0.6748
1;-1.6185;0.6717
1;-1.6687;-0.6062
1;-1.8531;0.4039
1;-1.8258;0.5244
1;-1.5708;0.2106
1;-1.6165;0.1835
1;-1.2129;0.8959
2;-0.2151;0.1721
1;-1.9096;1.3668
1;-0.9997;0.3995
1;-1.7754;0.9673
2;-0.3105;-0.0073
1;-1.5634;0.3751
1;-0.7043;0.1764
1;-2.3456;1.7047
2;-0.8092;-0.2997
1;-1.532;1.0449
2;-0.4865;-0.2923
1;-1.6551;1.0745
1;-1.5662;0.1036
1;-1.9639;0.2933
1;-1.8554;0.0214
1;-0.7891;0.7151
1;-1.7646;-0.0083
1;-1.8827;0.7429
2;-0.2869;-0.3366
1;-0.6488;0.9993
2;-0.7769;-1.0984
1;-1.429;0.3201
2;-0.811;-0.403
1;-1.7875;-0.4163
2;-0.6532;-0.1674
1;-1.7413;0.6344
1;-1.6718;-0.0247
1;-1.627;1.1371
1;-1.621;-0.1314
1;-1.8492;0.9735
1;-1.6919;0.0725
1;-1.7457;0.4636
2;-0.6885;-0.0528
1;-1.7158;1.4773
1;-0.9102;-0.0596
1;-1.5051;0.4926
1;-0.6378;0.0449
1;-1.5157;0.5714
2;0.0434;-0.2886
1;-1.6084;0.4586
2;-1.1765;-0.5676
1;-1.6473;0.572
1;-0.714;0.6179
1;-1.6221;0.6156
